aar_wheel_arrangement,actual_owner,adhesion_factor,brake_system,manufacturer,cooling_fluid_capacity,cylinders_size,delivered_date,first_service_year,first_unit_year,fuel_capacity,fuel_type,gauge,generator,height,horsepower_total,horsepower_traction,length,lubrificant_oil_capacity,minimum_radius,model,motor_builder,motor_capacity,motor_primary,motor_type,multiple_traction_units,nickname,operated_railroads,operation_locations,original_railroads,prime_mover_type,rpm_limit,sand_capacity,serial_number,sigo_numeric_range,status,total_units,traction_effort,traction_motors,trucks_type,url,velocity_max,velocity_min,weight,weight_adherent,weight_per_axle,wheel_diameter,wheelbase,width
B-B,,,24RL,ALCO,,"230,2 mm (9 1/16 in) x 266,7 mm (10 1/2 in)",,,1948,4540 L,,Larga,GE 564 C1,4503.0,,,15697.0,,,,ALCO,,,,,Biriba,,,,DIESEL_ELECTRIC,,,,,,,,GE 752 E1,,,104.0,,108200.0,108200.0,27050.0,1016.0,8280.0,2330.0
A1A-A1A,,,,ALCO,,,,,1953,,,Larga,,,,,,,,,ALCO,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
B-B,,,,ALCO,,"230,2 mm (9 1/16 in) x 266,7 mm (10 1/2 in)",,,1952,,,Larga,GE GT-581,4.0,,,18.0,,,,ALCO,,,ALCO 244,,Canadenses e Rabo Quente,,,,DIESEL_ELECTRIC,,,,,,,23,,,,105.0,,109.96,109.96,27.49,1016.0,2.0,
A1A-A1A,,,,ALCO,,,,,1946,,,Larga,,,,,,,,,ALCO,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,,,,,,,,
A1A-A1A,,,,ALCO,,,,,,3028 L,,Larga,,,,,,,,,ALCO,,,V-12,,,,,,DIESEL_ELECTRIC,,,,6551-6562,,,,,,,105.0,,,,,,,
C-C,,,,ALCO,,,,,1958,,,Métrica,,,900,,,,,,ALCO,,,,,,,,,DIESEL_ELECTRIC,,,,,,,,,C-C,,,,62000.0,,,,,
C-C,,,6SL,Baldwin-Whitcomb,,"323,85 mm (12 3/4 in) x 393,70 mm (15 1/2 in)",,,1952,,,,Westinghouse 471 BZ,,1650,,17.0,,,,Baldwin-Whitcomb,,,Turbo - Alimentado,,"Baldwin, Papo Amarelo",,,,DIESEL_ELECTRIC,1,,,,,,,6x Westinghouse AS616: 563A AS616E: 370 DEZ,AS616: Trimount Type Normal AS616E: Trimount Type & Floating Bolster,,65.0,,,,,1067.0,,2.0
1-B+B-1,,,,Baldwin-Westinghouse,,,,,1921,,,Larga,,3834.0,1800,,16129.000000000002,,,,,,,,,,,,,ELECTRIC,,,,6311 - 6313,,,,,,,105.0,,128000.0,93440.0,21300.0,1600.0,,
C+C,,,,Baldwin-Westinghouse,,,,,1921,,,Larga,,3834.0,1350,,15291.0,,,,,,,,,Cristaleira,,,,ELECTRIC,,,,6411 - 6418,,,,,,,65.0,,106000.0,,17700.0,1016.0,,
1-B-B-1,,,,English-Electric,,,,,1938,,,Métrica,,3730.0,450,,,,,,English-Electric,,,Aspirado,,,,,,DIESEL_ELECTRIC,,,,,,,,,,,75.5,,54500.0,38500.0,10000.0,,,2670.0
